Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
mul_F0_mult_16_U333             3.817e+07         6.5e+07  0.0004163    0.001034    7.04e-05    0.001521      0.1121    XOR2_X2
int_mul_F3_d_reg_9_             4.773e+08       9.599e+07   0.001216   0.0002153   8.827e-05    0.001519       0.112    DFFR_X1
int_mul_F0_d_reg_10_            4.834e+08       9.751e+07   0.001229   0.0001933   8.827e-05     0.00151      0.1113    DFFR_X1
U529                             4.07e+08       3.957e+08   0.001148   0.0003261   3.235e-05    0.001506       0.111    OAI22_X1
mul_E3_mult_16_U60              1.361e+08       2.449e+08  0.0008609   0.0005764   6.494e-05    0.001502      0.1107    FA_X1
mul_F0_mult_16_U30              9.297e+07       2.615e+08  0.0009265   0.0005106   6.433e-05    0.001501      0.1107    FA_X1
mul_F2_mult_16_U330             3.817e+07       6.463e+07  0.0004019    0.001028   7.103e-05    0.001501      0.1106    XOR2_X2
U521                            4.044e+08        3.93e+08   0.001139   0.0003288   3.266e-05      0.0015      0.1106    OAI22_X1
mul_F0_mult_16_U31              1.277e+08       2.389e+08   0.000862   0.0005708    6.35e-05    0.001496      0.1103    FA_X1
int_mul_E2_d_reg_8_              3.93e+08       9.675e+07   0.001217   0.0001914   8.808e-05    0.001496      0.1103    DFFR_X1
mul_F2_mult_16_U30              9.297e+07       2.608e+08  0.0009232   0.0005067    6.43e-05    0.001494      0.1101    FA_X1
U531                            3.995e+08       3.874e+08   0.001124   0.0003355   3.235e-05    0.001492        0.11    OAI22_X1
int_mul_F2_d_reg_9_             4.815e+08       9.675e+07   0.001221   0.0001813   8.825e-05    0.001491      0.1099    DFFR_X1
int_mul_E2_d_reg_7_             3.787e+08       9.675e+07   0.001202    0.000197   8.808e-05    0.001487      0.1096    DFFR_X1
int_mul_F1_d_reg_10_            4.705e+08       9.751e+07   0.001216   0.0001793   8.827e-05    0.001483      0.1093    DFFR_X1
int_mul_E3_d_reg_8_             3.957e+08       9.599e+07   0.001211   0.0001782   8.811e-05    0.001477      0.1089    DFFR_X1
mul_F0_mult_16_U70              9.902e+07       2.411e+08  0.0008436   0.0005694   6.093e-05    0.001474      0.1086    FA_X1
mul_F3_mult_16_U56               1.13e+08       2.347e+08   0.000832   0.0005734   6.735e-05    0.001473      0.1086    FA_X1
int_reg_3d_reg_1_               1.667e+08       6.878e+07  0.0006858   0.0006927   8.836e-05    0.001467      0.1081    DFFR_X1
mul_E2_mult_16_U46               1.24e+08       2.487e+08  0.0008779   0.0005287   5.987e-05    0.001467      0.1081    FA_X1
int_mul_F3_d_reg_8_             4.252e+08       9.599e+07   0.001166   0.0002125   8.827e-05    0.001466      0.1081    DFFR_X1
int_mul_F2_d_reg_10_             4.46e+08       9.675e+07   0.001187   0.0001855   8.825e-05    0.001461      0.1077    DFFR_X1
mul_F1_mult_16_U42              1.156e+08        2.63e+08  0.0009185    0.000484   5.796e-05     0.00146      0.1076    FA_X1
mul_F3_mult_16_U41              1.217e+08       2.328e+08  0.0008256    0.000566   6.653e-05    0.001458      0.1075    FA_X1
U501                            3.938e+08       3.753e+08   0.001121   0.0003109    2.52e-05    0.001457      0.1074    OAI22_X1
mul_F0_mult_16_U64              1.444e+08        2.43e+08  0.0008629   0.0005195   7.271e-05    0.001455      0.1073    FA_X1
int_mul_E3_d_reg_7_             3.874e+08       9.599e+07   0.001202   0.0001651   8.811e-05    0.001455      0.1073    DFFR_X1
mul_F1_mult_16_U31              1.247e+08       2.313e+08  0.0008309   0.0005555   6.489e-05    0.001451       0.107    FA_X1
int_mul_E2_d_reg_6_             3.485e+08       9.675e+07   0.001169   0.0001904   8.808e-05    0.001447      0.1067    DFFR_X1
int_mul_F0_d_reg_8_             4.146e+08       9.751e+07   0.001163   0.0001962   8.827e-05    0.001447      0.1067    DFFR_X1
int_reg_2d_reg_8_               1.667e+08       9.751e+07  0.0008227   0.0005362   8.827e-05    0.001447      0.1067    DFFR_X1
U471                            3.893e+08       3.787e+08   0.001096   0.0003138   3.266e-05    0.001443      0.1063    OAI22_X1
int_mul_F1_d_reg_9_             4.305e+08       9.751e+07   0.001177   0.0001736   8.827e-05    0.001439      0.1061    DFFR_X1
U511                             3.87e+08       3.726e+08   0.001113   0.0003011   2.497e-05    0.001439      0.1061    OAI22_X1
mul_F2_mult_16_U74               8.73e+07       2.358e+08  0.0008423   0.0005192   7.368e-05    0.001435      0.1058    FA_X1
int_mul_F3_d_reg_7_             4.078e+08       9.599e+07   0.001148   0.0001968   8.827e-05    0.001434      0.1057    DFFR_X1
mul_E3_mult_16_U53              7.861e+07       2.441e+08  0.0008708    0.000497   5.959e-05    0.001427      0.1052    FA_X1
int_mul_F0_d_reg_7_              4.01e+08       9.751e+07    0.00115   0.0001885   8.827e-05    0.001426      0.1051    DFFR_X1
mul_E3_mult_16_U46              1.126e+08        2.43e+08  0.0008536   0.0005137   5.818e-05    0.001425      0.1051    FA_X1
mul_E2_mult_16_U53              7.861e+07       2.441e+08  0.0008706   0.0004927   5.949e-05    0.001423      0.1049    FA_X1
int_mul_F2_d_reg_7_             3.953e+08       9.675e+07   0.001139   0.0001941   8.825e-05    0.001422      0.1048    DFFR_X1
mul_F1_mult_16_U36              8.692e+07       2.252e+08  0.0007908   0.0005681   6.023e-05    0.001419      0.1046    FA_X1
int_mul_E3_d_reg_6_             3.382e+08       9.599e+07    0.00115   0.0001709   8.811e-05    0.001409      0.1038    DFFR_X1
mul_E3_mult_16_U34              1.262e+08       2.215e+08   0.000791   0.0005404   7.517e-05    0.001407      0.1037    FA_X1
mul_F0_mult_16_U46              1.338e+08       2.366e+08  0.0008315   0.0005023   6.057e-05    0.001394      0.1028    FA_X1
int_mul_F3_d_reg_6_             3.753e+08       9.599e+07   0.001117   0.0001867   8.827e-05    0.001392      0.1026    DFFR_X1
mul_F0_mult_16_U61              9.297e+07       2.249e+08  0.0008003   0.0005261   6.294e-05    0.001389      0.1024    FA_X1
int_mul_F2_d_reg_8_             3.726e+08       9.675e+07   0.001117   0.0001832   8.825e-05    0.001389      0.1024    DFFR_X1
mul_E2_mult_16_U34              1.194e+08       2.215e+08  0.0007892   0.0005237   7.543e-05    0.001388      0.1023    FA_X1
int_mul_E2_d_reg_4_             2.933e+08       9.675e+07    0.00111   0.0001902   8.808e-05    0.001388      0.1023    DFFR_X1
int_reg_1d_reg_9_               1.667e+08       9.751e+07  0.0008631   0.0004362   8.828e-05    0.001388      0.1023    DFFR_X1
int_mul_E2_d_reg_5_             2.918e+08       9.675e+07   0.001108    0.000188   8.808e-05    0.001384       0.102    DFFR_X1
mul_F2_mult_16_U47              7.029e+07       2.139e+08  0.0007697   0.0005427    7.02e-05    0.001383      0.1019    FA_X1
mul_F0_mult_16_U52              1.096e+08        2.32e+08  0.0008146   0.0004984   6.721e-05     0.00138      0.1017    FA_X1
mul_F1_mult_16_U32              6.122e+07       2.192e+08  0.0007776   0.0005374   6.003e-05    0.001375      0.1013    FA_X1
mul_E2_mult_16_U52              9.297e+07       2.268e+08  0.0008065   0.0004976   6.897e-05    0.001373      0.1012    FA_X1
int_reg_2d_reg_4_               1.667e+08       9.146e+07  0.0007888   0.0004949   8.825e-05    0.001372      0.1011    DFFR_X1
mul_F3_mult_16_U308             9.675e+07       9.675e+07  9.427e-05    0.001266    1.01e-05     0.00137       0.101    INV_X1
int_mul_E3_d_reg_5_             3.065e+08       9.599e+07   0.001116   0.0001661   8.811e-05     0.00137       0.101    DFFR_X1
